Groups, Dataset Name, Size,Shape,Type
AwakeEventData/AIRTR01/Acq/numericPosition,numericPosition,1,"(1,)",float32
AwakeEventData/AIRTR02/Acq/numericPosition,numericPosition,1,"(1,)",float32
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,phaseACurrentValue,1,"(1,)",float32
AwakeEventData/BLMITT41/Acquisition/acqDesc,acqDesc,1,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqMsg,acqMsg,1,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqState,acqState,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/acqTime,acqTime,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/alarmStatus,alarmStatus,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,blrSignalStatus,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/calLosses,calLosses,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/calLosses_unit,calLosses_unit,1,"(1,)",|S4
AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,calLosses_unitExponent,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/calThresholds,calThresholds,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/channelNames,channelNames,15,"(15,)",|S15
AwakeEventData/BLMITT41/Acquisition/deviceName,deviceName,1,"(1,)",|S5
AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,enableExtFlagBIC,2,"(2,)",int32
AwakeEventData/BLMITT41/Acquisition/measStamp,measStamp,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfChannels,nbOfChannels,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfMeas,nbOfMeas,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/normLosses,normLosses,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/observables,observables,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/rawLosses,rawLosses,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/superCycleNb,superCycleNb,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/totalGains,totalGains,5,"(5,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,horProjection,2048,"(2048,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,imageRawData,2211840,"(1080, 2048)",int16
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,verProjection,1080,"(1080,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,horProjection,2592,"(2592,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,imageRawData,5308416,"(2048, 2592)",int16
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,verProjection,2048,"(2048,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,horProjection,1280,"(1280,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,imageRawData,1228800,"(960, 1280)",int16
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,verProjection,960,"(960,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,horProjection,1920,"(1920,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,imageRawData,2304000,"(1200, 1920)",int16
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
